year,YOutput,PiT,VCC,GBondCentralBank,realWageIndex,LFirmLoan,exchangeRate,netForeignAssets,tradeBalance,capitalFlight,LaborProductivity,NominalWage,CostOfLiving
1,399.5141242937853,-0.3763026043374141,0.8039236235122141,155.0,0.6476190476190476,25.0,0.9924543937551262,-399.26329059590415,15.07288135593221,214.33617195183635,0.8160000000000001,2.5406405782652044,0.985
2,321.2752486741591,-0.4628550445264791,0.655325843831218,260.0,0.6605714285714286,2.5,0.9761342649952174,-588.1397563671017,26.415588760180782,215.29205453137823,0.8323200000000001,3.5579371829612896,0.970225
3,310.54639324884323,-0.4386364970235917,0.6646817019011688,365.0,0.6737828571428572,0.0,0.9590480943718167,-725.5432086463929,27.178887432854488,164.58233971214574,0.8489664000000001,3.146383997681492,0.955671625
4,223.71912734814669,-0.3067264812693665,1.06530050083634,415.0,0.6883237772743533,0.0,0.9252105464221944,-687.85937798292,39.466773060265844,1.782942396792933,0.8659457280000001,2.362630396445269,0.941336550625
5,214.5103716958883,-0.20558004567372962,1.3381172963184989,465.0,0.7020902528198404,0.0,0.8913911749431004,-655.427222845693,39.205162406305654,6.773007269078615,0.8832646425600001,1.70077809047778,0.927216502365625
6,206.31409690516628,-0.09401151432851464,1.6992829283052056,515.0,0.7161320578762371,0.0,0.8578835643816303,-616.6502380226102,38.776984823082785,0.0,0.9009299354112001,1.207298420169428,0.9133082548301407
7,199.0113417626678,0.025532161187748013,2.1707332332247384,565.0,0.7304546990337618,19.982342687372007,0.8249410006983617,-578.4402520064136,38.20998601619664,0.0,0.9189485341194241,0.8501260115729222,0.8996086310076885
8,329.2719833395881,0.1723207556846012,1.8000074802817583,705.0,0.7442946796377596,45.06660931877201,0.8170273570157999,-562.6467519343236,15.793500072090104,0.0,0.9373275048018126,0.6320314216000752,0.8861145015425732
9,360.50935631104875,0.3062278836305948,2.2374459161721667,845.0,0.759180573230515,93.03884541076275,0.8123424398906678,-552.3107672047491,10.335984729574427,0.0,0.9560740548978489,0.4797422768850553,0.8728227840194346
10,353.211066267834,0.39182539147248385,3.2858010333510346,985.0,0.7743641846951251,136.0673129493607,0.8071873514243402,-541.1034597658958,11.207307438853341,0.0,0.9751955359958059,0.3634006997411573,0.8597304422591431
11,352.3453361837376,0.46160731060778104,4.671510874606183,1125.0,0.7898514683890276,178.79685162338814,0.8021367640962889,-530.0803008493976,11.023158916498126,0.0,0.994699446715722,0.27429289318882666,0.8468344856252559
12,352.6202013932845,0.5128583474797243,6.608579959214793,1265.0,0.8056484977568082,222.04117756431205,0.797286118130788,-519.4185544128688,10.66174643652878,0.0,1.0145934356500363,0.206340512257628,0.834131968340877
13,353.5612205910728,0.5479319563046984,9.333536471330003,1405.0,0.8217614677119444,266.2680000750621,0.7926839293046511,-509.21421583380027,10.204338579068562,0.0,1.034885304363037,0.15475445653184663,0.8216199888157638
14,354.92451563264285,0.5696416634186866,13.182298727543987,1545.0,0.8381966970661833,311.7670255966612,0.788354349680736,-499.52136163238464,9.692854201415642,0.0,1.055583010450298,0.11574528428977844,0.8092956889835273
15,356.6013601482046,0.5808541247365906,18.633015784804975,1685.0,0.8549606310075071,358.74833202690166,0.7843103449331126,-490.375109099927,9.146252532457666,0.0,1.076694670659304,0.08634745097556895,0.7971562536487744
